variationidtemp,Average Rate,Intial_Repayment,balance_outstanding,Repayment,fees,Total_Cost,Flex Points,Cost Score,Flex Score,Total Score
Holiday Coast Credit Union - 65a1bd66-3f64-406f-9e43-79c5c88965ab - 12 to 999,5.85,577.8939087,0,34673.63452,200,34873.63452,9,4.443659413,5,4.610561589
SCU - a76010cc-baac-4c91-a8e1-ca4c5900a817 - 0 to 84,5.95,579.2868211,0,34757.20927,100,34857.20927,9,4.450287963,5,4.615201574
Northern Beaches Credit Union - 2942c2ab-434e-4e8a-9ab0-50f2daef4fbc - 12 to 84,5.34,570.8219623,0,34249.31774,595,34844.31774,9,4.455490449,5,4.618843315
Bank First - 29b712d5-bb1f-482f-a3ab-af00802f360e - 0 to 108,5.79,577.0591452,0,34623.54871,150,34773.54871,9,4.484049888,5,4.638834922
People's Choice Credit Union - c7c4d2f0-dd2c-46f0-85a6-eeb2743f1004 - 12 to 120,5.64,574.9754666,0,34498.528,250,34748.528,9,4.49414721,5,4.645903047
Community First Credit Union - 4ec34356-09e8-47ee-849d-ab4e52b919ee - 0 to 84,5.34,570.8219623,0,34249.31774,495,34744.31774,9,4.495846295,5,4.647092407
Beyond Bank Australia - 57bbe80c-81a9-4ff2-b299-3744dd2e822f - 0 to 84,5.69,575.6695133,0,34540.1708,175,34715.1708,6,4.507608789,3.333333333,4.155326152
Heritage Bank - 5caaeb30-9fe7-4ff2-9cc9-033e775b8939 - 12 to 120,5.14,568.0632296,0,34083.79377,500,34583.79377,9,4.560627099,5,4.692438969
Holiday Coast Credit Union - d77bfbad-0010-4b4d-8ff4-1a79ec37184d - 12 to 84,5.49,572.8964047,0,34373.78428,200,34573.78428,9,4.564666514,5,4.69526656
My Credit Union - 18468d8e-4e65-46f8-9186-10d4c2463d51 - 0 to 84,5.49,572.8964047,0,34373.78428,195,34568.78428,9,4.566684306,5,4.696679014
Family First Credit Union - 97e7421c-fb57-4556-916b-70d5ee78e58f - 0 to 999,5.615,574.6286356,0,34477.71814,75,34552.71814,0.5,4.573167935,0.277777778,3.284550888
Family First Credit Union - d089177f-db40-4dad-a21c-d830b2529fcd - 0 to 999,5.6,574.4205986,0,34465.23591,75,34540.23591,1,4.578205241,0.555555556,3.371410336
MOVE - People Driven Banking - 37161146-6a72-4246-a466-aa844bb0e061 - 1 to 84,5.39,571.5129296,0,34290.77578,195,34485.77578,9,4.60018309,5,4.720128163
Coastline Credit Union - aa4c5446-e0ee-4424-ad73-7657778b7c83 - 12 to 84,5.29,570.1315085,0,34207.89051,200,34407.89051,9,4.631614349,5,4.742130045
Coastline Credit Union - ed9a147c-1a88-494d-bd48-45843319542c - 12 to 84,5.29,570.1315085,0,34207.89051,200,34407.89051,9,4.631614349,5,4.742130045
Bank First - b8b89837-52f3-4895-a5b5-aab0e430698b - 0 to 108,5.29,570.1315085,0,34207.89051,150,34357.89051,9,4.651792273,5,4.756254591
Community First Credit Union - a0345172-4dab-4a37-9af2-abcf8305651e - 0 to 999,5.22,569.1657362,0,34149.94417,195,34344.94417,1,4.657016877,0.555555556,3.426578481
Northern Beaches Credit Union - b0c1a375-c001-4353-9d2f-30dcb101ae31 - 0 to 999,5.17,568.4765154,0,34108.59092,195,34303.59092,1,4.67370533,0.555555556,3.438260398
First Option Credit Union - b3b0031f-ae14-4872-ae84-25a56835f588 - 1 to 360,4.99,565.9995764,0,33959.97458,0,33959.97458,9,4.812374611,5,4.868662227
Endeavour Mutual Bank - 0c285374-e4e6-4b31-bc7e-f110420b8d79 - 0 to 999,4.24,555.7507863,0,33345.04718,150,33495.04718,6,5,3.333333333,4.5
