Average of Min and Max,Firstdayeachmonth,Company + Product,Company + Variation,Secured PL,productcount,Extrarepaypoints,dailyrepaypoints,weeklyrepaypoints,Monthlyrepaypoints,fortnightlyrepaypoints,Quarterlyrepaypoints,redrawfacilitypoints,redrawactivationfeepenalty,Unsecuredpoints,earlyexitfeepenalty,totalpoints,norepaymentlimitpoints,Past Year Filter (In Progress),variationidtemp,average_rate,Initial_Repayment,balance_outstanding,Repayment,fees,Total_Cost,Personal/Car Loan Bucketing,Number of Records,Car Loan,Unsecured PL,Adminnotes,applicationfeesdollar (custom sql query1),Applicationfeesdollar,applicationfeespercent (custom sql query1),Applicationfeespercent,collectiondate (custom sql query1),Collectiondate,Companycode,Companyid,Companyname,comparisonratecar,comparisonratepersonal,description (custom sql query1),Description,Docreleasefees,Earlyexitpenaltyfee,Earlyexitpenaltyfeeperiod,Encumbrancecheckfees,extrarepaymentdollarlimits,extrarepaymentdollarlimitsperiod,filename (custom sql query1),filename,Hasearlyexitpenalty,Hasearlyexitpenaltyfeesvaries,Hasredrawfacility,introrate,introterm,Isboatallowed,Iscarloan,Iscontractemploymentaccepted,Isdebtconsolidationallowed,Isdiscontinued,Isextrarepaymentsallowed,Isfulltimeemploymentaccepted,Isfullydrawnadvance,Isholidaysallowed,Islineofcredit,Ismedicalbillallowed,Ismotorcycleallowed,Isnewcarallowed,Isparttimeemploymentaccepted,Ispersonalloan,Isrcspecial,Isrenovationallowed,Isrestrictedtocurrenthlcustomer,Issecuredbydeposit,Issecuredbyproperty,Issecuredbyvehicle,Isselfemploymentaccepted,Issharesallowed,Isspecial,Isstudentallowed,Isusedcarallowed,Isweddingallowed,maxloanamount,maxloanterm,Maxrate,Minimumincome,Minimumyearsaddress,minloanamount,minloanterm,Minrate,Minredrawamount,Missedpaymentpenalty,Ongoingfees,Ongoingfeesfrequency,Otherbenefits,Otherfees,Otherpurposes,Otherrestrictions,productid (custom sql query1),Productid,Redrawactivationfee,Repaymentfreq,Repaymenttype,Securedbyothers,Securedtype,Specialconditions,uuid (custom sql query1),Uuid,variationid
9.79,False,Auswide Bank - 581ff6cba949c9659bf95af7,Auswide Bank - Used Vehicle Loan Fixed,,1,5,0,0,0.5,0,0,0,0,0,-3,5.5,5,3,Auswide Bank - 92c507b6-d681-4283-af27-a858aefe0751 - 12 to 84,9.79,634.315911155,,38058.954669290,300,38358.954669290,CnotP,1,,,,,175,,0,19/03/2018,19/03/2018,WBCB,b3db38f5-a615-4fcb-b97a-05093f7ac038,Auswide Bank,10.39,,Used Vehicle Loan Fixed,Used Vehicle Loan Fixed,0,150,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,YES,UNKNOWN,NO,,,YES,YES,UNKNOWN,NO,False,YES,UNKNOWN,YES,NO,NO,NO,YES,YES,UNKNOWN,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO,NO,NO,YES,NO,75000,84,9.79,0,0,5000,12,9.79,0,10,5,Monthly,,0,,,581ff6cba949c96,581ff6cba949c9659bf95af7,0,"[""Monthly""]",FIXED,,SECURED,,92c507b6-d681-4283-af27-a858aefe0751,92c507b6-d681-4283-af27-a858aefe0751,510071
7.79,False,Auswide Bank - 581ff6cba949c9659bf95af9,Auswide Bank - New Vehicle Loan Fixed,,1,5,0,0,0.5,0,0,0,0,0,-3,5.5,5,3,Auswide Bank - b9ae05a4-033a-4411-82f7-d814afe5c768 - 12 to 84,7.79,605.281225190,,36316.873511397,300,36616.873511397,CnotP,1,,,,,175,,0,19/03/2018,19/03/2018,WBCB,b3db38f5-a615-4fcb-b97a-05093f7ac038,Auswide Bank,8.39,,New Vehicle Loan Fixed,New Vehicle Loan Fixed,0,150,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,YES,UNKNOWN,NO,,,YES,YES,UNKNOWN,NO,False,YES,UNKNOWN,YES,NO,NO,NO,YES,YES,UNKNOWN,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO,NO,NO,NO,NO,75000,84,7.79,0,0,5000,12,7.79,0,10,5,Monthly,,0,,,581ff6cba949c96,581ff6cba949c9659bf95af9,0,"[""Monthly""]",FIXED,,SECURED,,b9ae05a4-033a-4411-82f7-d814afe5c768,b9ae05a4-033a-4411-82f7-d814afe5c768,510075
11.79,False,Auswide Bank - 581ff6cba949c9659bf95afd,Auswide Bank - Partially Secured Personal Loan Fixed,,1,5,0,0,0.5,0,0,0,0,0,-3,5.5,5,3,Auswide Bank - cd5f9844-effe-4092-99f9-24d234645334 - 12 to 84,11.79,664.154202586,,39849.252155156,300,40149.252155156,PnotC,1,,,,,175,,0,19/03/2018,19/03/2018,WBCB,b3db38f5-a615-4fcb-b97a-05093f7ac038,Auswide Bank,,14.08,Partially Secured Personal Loan Fixed,Partially Secured Personal Loan Fixed,0,150,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,YES,UNKNOWN,NO,,,NO,NO,UNKNOWN,YES,False,YES,UNKNOWN,YES,YES,NO,YES,NO,NO,UNKNOWN,YES,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,NO,YES,NO,YES,75000,84,11.79,0,0,5000,12,11.79,0,10,5,Monthly,,0,,,581ff6cba949c96,581ff6cba949c9659bf95afd,0,"[""Monthly""]",FIXED,,SECURED,,cd5f9844-effe-4092-99f9-24d234645334,cd5f9844-effe-4092-99f9-24d234645334,510083
10.79,False,Auswide Bank - 581ff6cba949c9659bf95aff,Auswide Bank - Personal Loan Other Security Fixed,,1,5,0,0,0.5,0,0,0,0,0,-3,5.5,5,3,Auswide Bank - ac219bb5-1572-46cf-a59f-8c7c45f703c7 - 12 to 84,10.79,649.135225216,,38948.113512950,300,39248.113512950,PnotC,1,,,,,175,,0,19/03/2018,19/03/2018,WBCB,b3db38f5-a615-4fcb-b97a-05093f7ac038,Auswide Bank,,13.08,Personal Loan Other Security Fixed,Personal Loan Other Security Fixed,0,150,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,YES,UNKNOWN,NO,,,NO,NO,UNKNOWN,YES,False,YES,UNKNOWN,YES,YES,NO,YES,NO,NO,UNKNOWN,YES,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,NO,YES,NO,YES,75000,84,10.79,0,0,5000,12,10.79,0,10,5,Monthly,,0,,,581ff6cba949c96,581ff6cba949c9659bf95aff,0,"[""Monthly""]",FIXED,,SECURED,,ac219bb5-1572-46cf-a59f-8c7c45f703c7,ac219bb5-1572-46cf-a59f-8c7c45f703c7,510087
9.99,False,Bank of us - 581ff6cba949c9659bf95b01,Bank of us - Secured Used Car Loan (Car > 7 Years),,1,5,0,0.5,0.5,0,0,0,0,0,0,6,5,3,Bank of us - f48827f8-a6e3-47a4-ae76-6cfa79f32b20 - 6 to 84,9.99,637.263739137,,38235.824348211,600,38835.824348211,CnotP,1,,,,,200,,0,19/03/2018,19/03/2018,BASS,6a7d4b69-d51d-420f-87b5-74270d5216aa,Bank of us,10.96,,Secured Used Car Loan (Car > 7 Years),Secured Used Car Loan (Car > 7 Years),0,,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,NO,UNKNOWN,NO,,,NO,YES,UNKNOWN,NO,False,YES,UNKNOWN,YES,NO,NO,NO,NO,YES,UNKNOWN,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO,NO,NO,YES,NO,80000,84,9.99,0,0,3000,6,9.99,0,40,10,Monthly,,0,,,581ff6cba949c96,581ff6cba949c9659bf95b01,0,"[""Weekly"",""Fortnightly"",""Monthly""]",VARIABLE,,SECURED,,f48827f8-a6e3-47a4-ae76-6cfa79f32b20,f48827f8-a6e3-47a4-ae76-6cfa79f32b20,510091
5.99,False,Bank of us - 581ff6cba949c9659bf95b03,Bank of us - Secured New Car Loan,,1,5,0,0.5,0.5,0,0,0,0,0,0,6,5,3,Bank of us - 74cc27cd-61f9-4976-bacf-e0531de40659 - 6 to 84,5.99,579.844559953,,34790.673597184,600,35390.673597184,CnotP,1,,,,,200,,0,19/03/2018,19/03/2018,BASS,6a7d4b69-d51d-420f-87b5-74270d5216aa,Bank of us,6.99,,Secured New Car Loan,Secured New Car Loan,0,,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,NO,UNKNOWN,NO,,,NO,YES,UNKNOWN,NO,False,YES,UNKNOWN,YES,NO,NO,NO,NO,YES,UNKNOWN,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO,NO,NO,NO,NO,80000,84,5.99,0,0,3000,6,5.99,0,40,10,Monthly,,0,,,581ff6cba949c96,581ff6cba949c9659bf95b03,0,"[""Weekly"",""Fortnightly"",""Monthly""]",VARIABLE,,SECURED,,74cc27cd-61f9-4976-bacf-e0531de40659,74cc27cd-61f9-4976-bacf-e0531de40659,510095
12.39,False,Bank Australia - 581ff6cba949c9659bf95b05,Bank Australia - Overdraft,,1,0,0,0,0.5,0,0,0,0,0,0,0.5,5,3,Bank Australia - 9051216e-ace9-4855-b4ae-c5b51d65029b - 0 to 999,12.39,673.260870511,,40395.652230688,120,40515.652230688,PnotC,1,,,,,0,,0,19/03/2018,19/03/2018,SIRO,e2ce52e1-ea3c-4a8e-8de3-f38f9bc0028b,Bank Australia,,12.84,Overdraft,Overdraft,0,,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,NO,UNKNOWN,NO,,,NO,NO,UNKNOWN,YES,False,NO,UNKNOWN,NO,YES,YES,YES,NO,NO,UNKNOWN,YES,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,NO,YES,NO,YES,99999999,999,12.39,0,0,1000,0,12.39,0,15,24,Annually,,0,,,581ff6cba949c96,581ff6cba949c9659bf95b05,0,"[""Monthly""]",VARIABLE,,UNSECURED,,9051216e-ace9-4855-b4ae-c5b51d65029b,9051216e-ace9-4855-b4ae-c5b51d65029b,510099
7.89,False,Bank Australia - 581ff6cca949c9659bf95b07,Bank Australia - Lifestyle Personal Loan - Property Owner,,1,5,0,0.5,0.5,0,0,3,0,0,0,9,5,3,Bank Australia - 9d7114c4-b517-4dea-8072-963c3ff0467b - 0 to 120,7.89,606.713728973,,36402.823738372,0,36402.823738372,PnotC,1,,,,,150,,0,19/03/2018,19/03/2018,SIRO,e2ce52e1-ea3c-4a8e-8de3-f38f9bc0028b,Bank Australia,,8.92,Lifestyle Personal Loan - Property Owner,Lifestyle Personal Loan - Property Owner,0,,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,NO,UNKNOWN,YES,,,YES,NO,UNKNOWN,YES,False,YES,UNKNOWN,YES,YES,NO,YES,YES,NO,UNKNOWN,YES,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,NO,YES,NO,YES,99999999,120,7.89,0,0,1000,0,7.89,0,15,0,Monthly,,0,,,581ff6cca949c96,581ff6cca949c9659bf95b07,0,"[""Weekly"",""Fortnightly"",""Monthly""]",VARIABLE,,SECURED,,9d7114c4-b517-4dea-8072-963c3ff0467b,9d7114c4-b517-4dea-8072-963c3ff0467b,510103
12.74,False,Bank of Melbourne - 581ff6cca949c9659bf95b09,Bank of Melbourne - Secured Personal Loan,,1,5,0,0.5,0.5,0,0,3,0,0,-3,9,5,3,Bank of Melbourne - 70a2f725-56ef-4511-84be-24abbd174d72 - 12 to 84,12.74,678.605943167,,40716.356590049,720,41436.356590049,PandC,1,,,,,195,,0,19/03/2018,19/03/2018,BML,a7c45e24-cd8c-4995-a23e-054463dfaf3a,Bank of Melbourne,13.82,16.65,Secured Personal Loan,Secured Personal Loan,0,,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,YES,UNKNOWN,YES,,,YES,YES,UNKNOWN,YES,False,YES,UNKNOWN,YES,YES,NO,YES,YES,YES,UNKNOWN,YES,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,NO,YES,YES,YES,80000,84,12.74,0,0,2000,12,12.74,0,9,12,Monthly,,0,,,581ff6cca949c96,581ff6cca949c9659bf95b09,0,"[""Weekly"",""Fortnightly"",""Monthly""]",VARIABLE,,SECURED,,70a2f725-56ef-4511-84be-24abbd174d72,70a2f725-56ef-4511-84be-24abbd174d72,510107
16.49,False,Bank of Melbourne - 581ff6cca949c9659bf95b0b,Bank of Melbourne - Unsecured Personal Loan,,1,5,0,0.5,0.5,0,0,3,0,0,-3,9,5,3,Bank of Melbourne - 14a0074f-b898-4692-a344-a5b604cfa9ea - 12 to 84,16.49,737.375286106,,44242.51716637,720,44962.51716637,PandC,1,,,,0,195,,0,19/03/2018,19/03/2018,BML,a7c45e24-cd8c-4995-a23e-054463dfaf3a,Bank of Melbourne,13.78,15.49,Unsecured Personal Loan,Unsecured Personal Loan,0,,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,YES,UNKNOWN,YES,,,YES,YES,UNKNOWN,YES,False,YES,UNKNOWN,YES,YES,NO,YES,YES,YES,UNKNOWN,YES,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,NO,YES,YES,YES,40000,84,19.99,0,0,2000,12,12.99,0,9,12,Monthly,,0,,,581ff6cca949c96,581ff6cca949c9659bf95b0b,0,"[""Weekly"",""Fortnightly"",""Monthly""]",VARIABLE,,UNSECURED,,14a0074f-b898-4692-a344-a5b604cfa9ea,14a0074f-b898-4692-a344-a5b604cfa9ea,510111
17,False,Bank of Melbourne - 581ff6cca949c9659bf95b0d,Bank of Melbourne - Get Set Loan,,1,5,0,0,0.5,0,0,3,0,0,0,8.5,5,3,Bank of Melbourne - f1fa28f7-acce-480e-83e2-99a14ea5fc55 - 0 to 999,17,745.577273014,,44734.636380835,720,45454.636380835,PandC,1,,,,,150,,0,19/03/2018,19/03/2018,BML,a7c45e24-cd8c-4995-a23e-054463dfaf3a,Bank of Melbourne,17.8,19.92,Get Set Loan,Get Set Loan,0,,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,NO,UNKNOWN,YES,,,YES,YES,UNKNOWN,YES,False,YES,UNKNOWN,NO,YES,YES,YES,YES,YES,UNKNOWN,YES,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,NO,YES,YES,YES,50000,999,17,0,0,5000,0,17,0,9,12,Monthly,,0,,,581ff6cca949c96,581ff6cca949c9659bf95b0d,0,"[""Monthly""]",VARIABLE,,UNSECURED,,f1fa28f7-acce-480e-83e2-99a14ea5fc55,f1fa28f7-acce-480e-83e2-99a14ea5fc55,510115
12.74,False,BankSA - 581ff6cca949c9659bf95b0f,BankSA - Secured Personal Loan,,1,5,0,0.5,0.5,0,0,3,0,0,-3,9,5,3,BankSA - 441893fe-242f-4d1f-90d6-e9968f92993a - 12 to 84,12.74,678.605943167,,40716.356590049,720,41436.356590049,PandC,1,,,,,195,,0,19/03/2018,19/03/2018,SBS,b2427bf5-3c07-4762-9d2a-7a0178693ec2,BankSA,13.82,16.65,Secured Personal Loan,Secured Personal Loan,0,,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,YES,UNKNOWN,YES,,,YES,YES,UNKNOWN,YES,False,YES,UNKNOWN,YES,YES,NO,YES,YES,YES,UNKNOWN,YES,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,NO,YES,YES,YES,80000,84,12.74,0,0,2000,12,12.74,0,9,12,Monthly,,0,,,581ff6cca949c96,581ff6cca949c9659bf95b0f,0,"[""Weekly"",""Fortnightly"",""Monthly""]",VARIABLE,,SECURED,,441893fe-242f-4d1f-90d6-e9968f92993a,441893fe-242f-4d1f-90d6-e9968f92993a,510119
16.49,False,BankSA - 581ff6cca949c9659bf95b11,BankSA - Unsecured Personal Loan,,1,5,0,0.5,0.5,0,0,3,0,0,-3,9,5,3,BankSA - a36813bb-ffd1-4ac5-834d-e67c111c7a64 - 12 to 84,16.49,737.375286106,,44242.51716637,720,44962.51716637,PandC,1,,,,,195,,0,19/03/2018,19/03/2018,SBS,b2427bf5-3c07-4762-9d2a-7a0178693ec2,BankSA,13.78,15.49,Unsecured Personal Loan,Unsecured Personal Loan,0,,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,YES,UNKNOWN,YES,,,YES,YES,UNKNOWN,YES,False,YES,UNKNOWN,YES,YES,NO,YES,YES,YES,UNKNOWN,YES,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,NO,YES,YES,YES,40000,84,19.99,0,0,2000,12,12.99,0,9,12,Monthly,,0,,,581ff6cca949c96,581ff6cca949c9659bf95b11,0,"[""Weekly"",""Fortnightly"",""Monthly""]",VARIABLE,,UNSECURED,,a36813bb-ffd1-4ac5-834d-e67c111c7a64,a36813bb-ffd1-4ac5-834d-e67c111c7a64,510123
7.99,False,Bankstown City Unity Bank - 581ff6cca949c9659bf95b17,Bankstown City Unity Bank - Premium Personal Loan ,,1,5,0,0.5,0.5,0,0,3,0,0,0,9,5,3,Bankstown City Unity Bank - e0780f31-ca80-4907-9a05-2c457031f113 - 12 to 84,7.99,608.148263542,,36488.895812546,,,PnotC,1,,,,,150,,0,19/03/2018,19/03/2018,BCCU,37ed7cb7-495d-435e-9b03-0c20a2a51f44,Bankstown City Unity Bank,,9.02,Premium Personal Loan ,Premium Personal Loan ,0,,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,NO,UNKNOWN,YES,,,YES,NO,UNKNOWN,YES,False,YES,UNKNOWN,YES,YES,NO,YES,YES,NO,UNKNOWN,YES,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,NO,YES,NO,YES,9999999,84,7.99,0,0,500,12,7.99,0,15,,Monthly,,0,,,581ff6cca949c96,581ff6cca949c9659bf95b17,0,"[""Weekly"",""Fortnightly"",""Monthly""]",FIXED,,SECURED,,e0780f31-ca80-4907-9a05-2c457031f113,e0780f31-ca80-4907-9a05-2c457031f113,510135
14.82,False,Bankstown City Unity Bank - 581ff6cca949c9659bf95b19,Bankstown City Unity Bank - Fixed Personal Loan,,1,5,0,0.5,0.5,0,0,3,0,0,0,9,5,3,Bankstown City Unity Bank - 06619aed-8023-4f72-81a8-4c16e596094a - 12 to 84,14.82,710.866511567,,42651.990694002,,,PnotC,1,,,,,150,,0,19/03/2018,19/03/2018,BCCU,37ed7cb7-495d-435e-9b03-0c20a2a51f44,Bankstown City Unity Bank,,15.89,Fixed Personal Loan,Fixed Personal Loan,0,,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,NO,UNKNOWN,YES,,,YES,NO,UNKNOWN,YES,False,YES,UNKNOWN,YES,YES,NO,YES,YES,NO,UNKNOWN,YES,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,NO,YES,NO,YES,9999999,84,14.82,0,0,500,12,14.82,0,0,,Monthly,,0,,,581ff6cca949c96,581ff6cca949c9659bf95b19,0,"[""Weekly"",""Fortnightly"",""Monthly""]",FIXED,,UNSECURED,,06619aed-8023-4f72-81a8-4c16e596094a,06619aed-8023-4f72-81a8-4c16e596094a,510139
12.95,False,BankVic - 581ff6cda949c9659bf95b1b,BankVic - Secured Personal Loan,,1,5,0,0.5,0.5,0,0,0,0,0,0,6,5,3,BankVic - 41513992-652b-41a2-8d8d-0e48430072ac - 12 to 84,12.95,681.824572291,,40909.474337451,0,40909.474337451,PnotC,1,,,,,90,,0,19/03/2018,19/03/2018,PACC,83e85835-1a22-4278-9fea-dc817cd04835,BankVic,,13.58,Secured Personal Loan,Secured Personal Loan,0,,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,NO,UNKNOWN,NO,,,YES,NO,UNKNOWN,YES,False,YES,UNKNOWN,YES,YES,NO,YES,YES,NO,UNKNOWN,YES,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,NO,YES,NO,YES,60000,84,12.95,0,0,3000,12,12.95,0,0,0,Monthly,,0,,,581ff6cda949c96,581ff6cda949c9659bf95b1b,0,"[""Weekly"",""Fortnightly"",""Monthly""]",VARIABLE,,SECURED,,41513992-652b-41a2-8d8d-0e48430072ac,41513992-652b-41a2-8d8d-0e48430072ac,510143
12.95,False,BankVic - 581ff6cda949c9659bf95b21,BankVic - Unsecured Personal Loan,,1,5,0,0.5,0.5,0,0,0,0,0,0,6,5,3,BankVic - b0aa4fe1-3a74-4441-9bef-80212d93a5a5 - 12 to 84,12.95,681.824572291,,40909.474337451,0,40909.474337451,PnotC,1,,,,,90,,0,19/03/2018,19/03/2018,PACC,83e85835-1a22-4278-9fea-dc817cd04835,BankVic,,13.58,Unsecured Personal Loan,Unsecured Personal Loan,0,,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,NO,UNKNOWN,NO,,,YES,NO,UNKNOWN,YES,False,YES,UNKNOWN,YES,YES,NO,YES,YES,NO,UNKNOWN,YES,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,NO,YES,NO,YES,60000,84,12.95,0,0,3000,12,12.95,0,0,0,Monthly,,0,,,581ff6cda949c96,581ff6cda949c9659bf95b21,0,"[""Weekly"",""Fortnightly"",""Monthly""]",VARIABLE,,UNSECURED,,b0aa4fe1-3a74-4441-9bef-80212d93a5a5,b0aa4fe1-3a74-4441-9bef-80212d93a5a5,510155
7.99,False,Bankwest - 581ff6cda949c9659bf95b23,Bankwest - Secured Loan,,1,5,0,0.5,0.5,0,0,0,0,0,-3,6,5,3,Bankwest - 6268f6b6-9b17-44fa-96cd-344caba8dd14 - 36 to 84,7.99,608.148263542,,36488.895812546,300,36788.895812546,PandC,1,,,,,299,,0,19/03/2018,19/03/2018,RIWA,75aa1385-9c1c-41fa-a7da-9c1c5c93a42d,Bankwest,8.77,11.17,Secured Loan,Secured Loan,0,,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,YES,UNKNOWN,NO,,,YES,YES,UNKNOWN,YES,False,YES,UNKNOWN,YES,YES,NO,YES,YES,YES,UNKNOWN,YES,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,NO,YES,YES,YES,100000,84,7.99,0,0,10000,36,7.99,0,25,5,Monthly,,0,,,581ff6cda949c96,581ff6cda949c9659bf95b23,0,"[""Weekly"",""Fortnightly"",""Monthly""]",FIXED,,SECURED,,6268f6b6-9b17-44fa-96cd-344caba8dd14,6268f6b6-9b17-44fa-96cd-344caba8dd14,510159
14.49,False,Bankwest - 581ff6cda949c9659bf95b25,Bankwest - Flexible Personal Loan,,1,5,0,0.5,0.5,0,0,3,0,0,0,9,5,3,Bankwest - 32b5caae-5a62-4d6a-ac60-c9f6623447b6 - 12 to 84,14.49,705.691937697,,42341.516261822,600,42941.516261822,PandC,1,,,,,249,,0,19/03/2018,19/03/2018,RIWA,75aa1385-9c1c-41fa-a7da-9c1c5c93a42d,Bankwest,15.51,18.37,Flexible Personal Loan,Flexible Personal Loan,0,,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,NO,UNKNOWN,YES,,,YES,YES,UNKNOWN,YES,False,YES,UNKNOWN,YES,YES,NO,YES,YES,YES,UNKNOWN,YES,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,NO,YES,YES,YES,50000,84,14.49,0,0,5000,12,14.49,0,25,10,Monthly,,0,,,581ff6cda949c96,581ff6cda949c9659bf95b25,0,"[""Weekly"",""Fortnightly"",""Monthly""]",FIXED,,UNSECURED,,32b5caae-5a62-4d6a-ac60-c9f6623447b6,32b5caae-5a62-4d6a-ac60-c9f6623447b6,510163
6.79,False,Bendigo & Adelaide Bank - 581ff6cea949c9659bf95b2e,Bendigo & Adelaide Bank - Generation Green Secured Personal Loan,,1,5,0,0.5,0.5,0,0,3,0,0,-3,9,5,3,Bendigo & Adelaide Bank - 21491a25-bca7-42ac-aaf0-edf4091ec45d - 12 to 84,6.79,591.068104453,,35464.086267167,0,35464.086267167,PnotC,1,,,,,150,,0,19/03/2018,19/03/2018,BBS,55b8c691-f384-448b-a392-da67e3497a91,Bendigo & Adelaide Bank,,7.81,Generation Green Secured Personal Loan,Generation Green Secured Personal Loan,0,20,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,YES,UNKNOWN,YES,,,YES,NO,UNKNOWN,YES,False,YES,UNKNOWN,YES,YES,NO,YES,YES,NO,UNKNOWN,YES,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,NO,YES,NO,YES,99999999,84,6.79,0,0,2000,12,6.79,0,30,0,Monthly,,0,,,581ff6cea949c96,581ff6cea949c9659bf95b2e,0,"[""Weekly"",""Fortnightly"",""Monthly""]",FIXED,,SECURED,,21491a25-bca7-42ac-aaf0-edf4091ec45d,21491a25-bca7-42ac-aaf0-edf4091ec45d,510171
11.79,False,Bendigo & Adelaide Bank - 581ff6cea949c9659bf95b30,Bendigo & Adelaide Bank - Generation Green Unsecured Personal Loan,,1,5,0,0.5,0.5,0,0,3,0,0,-3,9,5,3,Bendigo & Adelaide Bank - ee7e2b05-83b0-4841-b2ad-637eba3008f9 - 12 to 84,11.79,664.154202586,,39849.252155156,0,39849.252155156,PnotC,1,,,,,150,,0,19/03/2018,19/03/2018,BBS,55b8c691-f384-448b-a392-da67e3497a91,Bendigo & Adelaide Bank,,12.84,Generation Green Unsecured Personal Loan,Generation Green Unsecured Personal Loan,0,20,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,YES,UNKNOWN,YES,,,YES,NO,UNKNOWN,YES,False,YES,UNKNOWN,YES,YES,NO,YES,YES,NO,UNKNOWN,YES,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,NO,YES,NO,YES,99999999,84,11.79,0,0,2000,12,11.79,0,30,0,Monthly,,0,,,581ff6cea949c96,581ff6cea949c9659bf95b30,0,"[""Weekly"",""Fortnightly"",""Monthly""]",FIXED,,UNSECURED,,ee7e2b05-83b0-4841-b2ad-637eba3008f9,ee7e2b05-83b0-4841-b2ad-637eba3008f9,510175
